,Ссылка,Название,Цена,Рассрочка,Диагональ экрана,Разрешение экрана,Частота обновления экрана,Тип матрицы,Процессор,Видеокарта,Размер оперативной памяти,Тип жесткого диска,Общий объем накопителей
290,https://kaspi.kz/shop/p/lenovo-thinkpad-t16-gen-1-21bv006prt-chernyi-108437758/?c=710000000,Ноутбук Lenovo ThinkPad T16 Gen 1 21BV006PRT черный,1 148 896 ₸,72 687 ₸,16 дюйм,1920x1200 Full HD+,60 Гц,IPS,Intel Core i7-1260P,Intel Iris Xe Graphics,16 ГБ,SSD,512 ГБ
291,https://kaspi.kz/shop/p/hp-250-g8-2x7k9ea-serebristyi-107198760/?c=710000000,Ноутбук HP 250 G8 2X7K9EA серебристый,481 166 ₸,30 442 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,VA,Intel Core i7-1165G7,Intel Iris Xe,16 ГБ,SSD,512 ГБ
292,https://kaspi.kz/shop/p/dell-vostro-3510-210-azzu-a21-chernyi-107417116/?c=710000000,Ноутбук DELL Vostro 3510 210-AZZU-A21 черный,441 960 ₸,27 962 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,VA,Intel Core i5-1135G7,Intel Iris Xe Graphics,16 ГБ,SSD,512 ГБ
293,https://kaspi.kz/shop/p/apple-macbook-pro-16-2023-mnwc3-serebristyi-108645856/?c=710000000,Ноутбук Apple MacBook Pro 16 2023 MNWC3 серебристый,1 574 990 ₸,99 645 ₸,16.2 дюйм,"3456x2234, Liquid Retina XDR",120 Гц,miniLED,Apple M2 Pro,Apple M2 Pro 19-Core,16 ГБ,SSD,512 ГБ
294,https://kaspi.kz/shop/p/apple-macbook-pro-16-2023-mnwd3-serebristyi-108645898/?c=710000000,Ноутбук Apple MacBook Pro 16 2023 MNWD3 серебристый,1 699 990 ₸,107 553 ₸,16.2 дюйм,"3456x2234, Liquid Retina XDR",120 Гц,miniLED,Apple M2 Pro,Apple M2 Pro 19-Core,16 ГБ,SSD,1024 ГБ
295,https://kaspi.kz/shop/p/hp-elitebook-850-g8-4l097ea-serebristyi-107416787/?c=710000000,Ноутбук HP Elitebook 850 G8 4L097EA серебристый,779 890 ₸,49 341 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,Intel Core i7 1165G7,Intel Iris Xe,16 ГБ,SSD,512 ГБ
296,https://kaspi.kz/shop/p/msi-gf63-thin-11uc-1026xkz-chernyi-105597740/?c=710000000,Ноутбук MSI GF63 Thin 11UC-1026XKZ черный,523 235 ₸,33 104 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i5-11400H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
297,https://kaspi.kz/shop/p/hp-omen-16-c0055ur-4z2s2ea-acb-serebristyi-106919809/?c=710000000,Ноутбук HP Omen 16-c0055ur 4Z2S2EA#ACB серебристый,814 990 ₸,51 562 ₸,16.1 дюйм,1920x1080,144 Гц,IPS,AMD Ryzen 9 5900HX,AMD Radeon RX 6600M,16 ГБ,SSD,1024 ГБ
298,https://kaspi.kz/shop/p/acer-nitro-5-an515-46-nh-qgzer-009-chernyi-106111851/?c=710000000,Ноутбук Acer Nitro 5 AN515-46 NH.QGZER.009 черный,749 990 ₸,47 450 ₸,15.6 дюйм,1920x1080,144 Гц,IPS,AMD Ryzen 7 6800H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1024 ГБ
299,https://kaspi.kz/shop/p/lenovo-legion-5-15ach6h-82ju018wrk-sinii-106138942/?c=710000000,Ноутбук Lenovo Legion 5 15ACH6H 82JU018WRK синий,829 990 ₸,52 511 ₸,15.6 дюйм,1920x1080 Full HD,165 Гц,IPS,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3070,16 ГБ,SSD,2048 ГБ
300,https://kaspi.kz/shop/p/hp-omen-16-c0038ur-4s1a6ea-acb-serebristyi-106111832/?c=710000000,Ноутбук HP Omen 16-c0038ur 4S1A6EA#ACB серебристый,954 990 ₸,60 419 ₸,16.1 дюйм,2560x1440,165 Гц,IPS,AMD Ryzen 9 5900HX,NVIDIA GeForce RTX 3070,16 ГБ,SSD,1000 ГБ
301,https://kaspi.kz/shop/p/asus-tuf-gaming-f15-90nr0704-m00d00-chernyi-107230798/?c=710000000,Ноутбук ASUS TUF Gaming F15 90NR0704-M00D00 черный,559 990 ₸,35 429 ₸,15.6 дюйм, 1920x1080,144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
302,https://kaspi.kz/shop/p/lenovo-legion-5-15iah7h-82rb00pfrk-seryi-108680002/?c=710000000,Ноутбук Lenovo Legion 5 15IAH7H 82RB00PFRK серый,959 990 ₸,60 736 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i7 12700H,NVIDIA GeForce RTX 3070,16 ГБ,SSD,1000 ГБ
303,https://kaspi.kz/shop/p/hp-elitebook-850-g8-401f1ea-serebristyi-106602802/?c=710000000,Ноутбук HP EliteBook 850 G8 401F1EA серебристый,625 856 ₸,39 596 ₸,15.6 дюйм,1920x1080,60 Гц,IPS,Intel Core i5 1135G7,Intel Iris Xe Graphics,16 ГБ,SSD,512 ГБ
304,https://kaspi.kz/shop/p/acer-nitro-5-an515-45-nh-qbcer-005-chernyi-106111779/?c=710000000,Ноутбук Acer Nitro 5 AN515-45 NH.QBCER.005 черный,659 990 ₸,41 756 ₸,15.6 дюйм,1920x1080,144 Гц,IPS, AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
305,https://kaspi.kz/shop/p/acer-aspire-7-a715-51g-nh-qgder-004-chernyi-106874696/?c=710000000,Ноутбук Acer Aspire 7 A715-51G NH.QGDER.004 черный,579 990 ₸,36 694 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i3 1240P,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
306,https://kaspi.kz/shop/p/acer-nitro-5-an515-46-nh-qgzer-002-chernyi-106111794/?c=710000000,Ноутбук Acer Nitro 5 AN515-46 NH.QGZER.002 черный,699 990 ₸,44 286 ₸,15.6 дюйм,1920x1080,144 Гц,IPS,AMD Ryzen 5 6600H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
307,https://kaspi.kz/shop/p/lenovo-legion-5-pro-16ach6h-82jq010brk-seryi-106138890/?c=710000000,Ноутбук Lenovo Legion 5 Pro 16ACH6H 82JQ010BRK серый,794 990 ₸,50 297 ₸,16 дюйм,2560x1600 WQXGA,165 Гц,IPS,AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1024 ГБ
308,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-15ihu6-82k10191rk-chernyi-105919507/?c=710000000,Ноутбук Lenovo IdeaPad Gaming 3 15IHU6 82K10191RK черный,519 990 ₸,32 898 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,Intel Core i5 11320H ,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
309,https://kaspi.kz/shop/p/hp-omen-16-c0015ur-67h23ea-acb-serebristyi-105411321/?c=710000000,Ноутбук HP Omen 16-c0015ur 67H23EA#ACB серебристый,949 990 ₸,60 103 ₸,16.1 дюйм,1920x1080,144 Гц,IPS,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3070,16 ГБ,SSD,1024 ГБ
310,https://kaspi.kz/shop/p/hp-envy-x360-touch-15-eu0015ur-633w7ea-chernyi-106944543/?c=710000000,Ноутбук HP ENVY x360 Touch 15-eu0015ur 633W7EA черный,559 990 ₸,35 429 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 7 5700U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
